id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,lobbyTimerGameID,lobbyTimerGameIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JJWST72D8JMBPRE0MBSC2V01,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-30T23:52:18.184386287Z,1.830000,2025-01-31T00:17:12.059782017Z,game ended,2025-01-31T00:17:12.208780703Z,true,2025-01-31T00:18:23.398301331Z,"{""age"":""24"",""gender"":""Male"",""strategy"":""Our strategy was flawless - we picked the start shape that was featured on the image an it was extremely quick and thoughtless by half way through."",""enjoy"":""Yes they were great, enjoyed that alot!"",""feedback"":"""",""education"":""bachelor""}",2025-01-31T00:18:23.429019686Z,01JJWRR8X7YC0AJHWDFXTMFZRB,2025-01-30T23:47:48.976560078Z,2,2025-01-30T23:49:12.677628419Z,true,2025-01-30T23:52:04.762877786Z,01JJWRR8X7YC0AJHWDFXTMFZRB,2025-01-30T23:52:04.797381802Z,01JJWT20XT3DPXKZGR2QX2PGTP,2025-01-30T23:52:04.797381802Z,Repi,2025-01-30T23:52:18.184386287Z,#29828D,2025-01-30T23:52:18.184386287Z,01JJWST6E7K9YVYV6BRT83R12F,2025-01-30T23:47:48.941381839Z,6744d143eddffd17d345b192,2025-01-30T23:47:48.941381839Z,01JJWT0FH8RHRQM88PVVV8GQBQ,2025-01-30T23:52:18.184386287Z,director,2025-01-31T00:16:33.801556468Z,1.830000,2025-01-31T00:17:12.059782017Z,/avatars/blue.png,2025-01-30T23:52:18.184386287Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:47:48.976560078Z,full-comp-between,2025-01-30T23:47:48.976560078Z,"{""participantKey"":""6744d143eddffd17d345b192"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c0f7d53aa22bb4662e856""}",2025-01-30T23:47:49.359106375Z
01JJWT1E1ZYRXCAGZ20P4CJP3G,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-30T23:54:38.370073341Z,1.290000,2025-01-31T00:37:43.544360573Z,game ended,2025-01-31T00:37:43.702296326Z,true,2025-01-31T00:49:24.650452495Z,"{""age"":""39"",""gender"":""woman"",""strategy"":""I made sure that my partner and I agreed on the same words and then we keep repaeting to get it correct"",""enjoy"":""I really enjoyed playing with my partner"",""feedback"":""No feedback"",""education"":""master""}",2025-01-31T00:49:24.613770181Z,01JJWSR3KHW2NPN0R7H4WW39R7,2025-01-30T23:53:49.832375978Z,2,2025-01-30T23:52:29.639446969Z,true,2025-01-30T23:54:36.324014138Z,01JJWSR3KHW2NPN0R7H4WW39R7,2025-01-30T23:54:36.402855091Z,01JJWT6MZFT6TJ8HSFYFFGS5XY,2025-01-30T23:54:36.402855091Z,Minu,2025-01-30T23:54:38.370073341Z,#444EA1,2025-01-30T23:54:38.370073341Z,01JJWT1BS0GMC3K1H9KW4CZBMJ,2025-01-30T23:51:45.471977994Z,66bbb17723fb2b808cea092b,2025-01-30T23:51:45.471977994Z,01JJWSWX3E2QYJW795A8F06CAH,2025-01-30T23:54:38.370073341Z,matcher,2025-01-31T00:37:14.555161468Z,1.290000,2025-01-31T00:37:43.544360573Z,/avatars/red.png,2025-01-30T23:54:38.370073341Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:51:45.522476804Z,full-comp-between,2025-01-30T23:51:45.522476804Z,"{""participantKey"":""66bbb17723fb2b808cea092b"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c104275b677c8ee79ac45""}",2025-01-30T23:51:46.183504886Z
01JJWQS6AQ9XQWWBZFG5QMDMK8,,,,,null,2025-01-30T23:12:18.267368835Z,,,,,01JJWSR6G9Z0CEPWXAMKJ8HE77,2025-01-30T23:55:02.703193113Z,2,2025-01-30T23:14:15.510472943Z,,,,,,,,,,,01JJWQS5Z9W6K5DEPTVFS0Y7XN,2025-01-30T23:12:18.263393476Z,62b9c2f1e55fe9f17dfedc5d,2025-01-30T23:12:18.263393476Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:12:18.267368835Z,full-comp-between,2025-01-30T23:12:18.267368835Z,"{""participantKey"":""62b9c2f1e55fe9f17dfedc5d"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c07388bfe99ef47f49e0b""}",2025-01-30T23:12:18.446510724Z
01JJWR6XK1CVES85T7PJJTVFR6,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-30T23:26:37.642415963Z,0.180000,2025-01-30T23:35:01.408982479Z,game ended,2025-01-30T23:40:18.842847505Z,true,2025-01-30T23:42:24.775339313Z,"{""age"":""40"",""gender"":""Male"",""strategy"":""Loads of communication is the key to describe the shape in relation to real objects - eg: letter E or triangle or arrow head etc"",""enjoy"":""No - my partner was terrible at communicating and did not respond/pick the shape etc on time!"",""feedback"":""When a shape was selected as matcher, it didn't get highlighted to confirm my input."",""education"":""master""}",2025-01-30T23:42:24.751432003Z,01JJWQM9NN31AH9EPQFG21TR1J,2025-01-30T23:25:52.751707697Z,2,2025-01-30T23:25:15.590130454Z,true,2025-01-30T23:26:22.661163589Z,01JJWQM9NN31AH9EPQFG21TR1J,2025-01-30T23:26:22.673627427Z,01JJWRJYYFMET647XGM46DWQGG,2025-01-30T23:26:22.673627427Z,Minu,2025-01-30T23:26:37.642415963Z,#444EA1,2025-01-30T23:26:37.642415963Z,01JJWR6X8SPMCHWWPW1N2NEM65,2025-01-30T23:19:48.065929471Z,663f825add0615896204b0d8,2025-01-30T23:19:48.065929471Z,01JJWQTAQZ7PRR9KCZDS80XQAT,2025-01-30T23:26:37.642415963Z,director,2025-01-30T23:39:15.433195177Z,0.180000,2025-01-30T23:35:01.408982479Z,/avatars/red.png,2025-01-30T23:26:37.642415963Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:19:48.072930679Z,full-comp-between,2025-01-30T23:19:48.072930679Z,"{""participantKey"":""663f825add0615896204b0d8"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c072ddf821fcf2e7199f3""}",2025-01-30T23:19:48.241306996Z
01JJWR8KFVXWYDQ6YE1YR69PA7,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-30T23:24:56.433715936Z,1.500000,2025-01-30T23:52:00.165710415Z,game ended,2025-01-30T23:52:00.278811132Z,true,2025-01-30T23:55:25.259687291Z,"{""age"":""26"",""gender"":""Male"",""strategy"":""We had a codename for each of the icon"",""enjoy"":""Yes! Fast and attentive folk"",""feedback"":"""",""education"":""master""}",2025-01-30T23:55:25.400959509Z,01JJWQM94XQAQVWGZG992VCZZY,2025-01-30T23:24:33.809300625Z,2,2025-01-30T23:24:11.407866434Z,true,2025-01-30T23:24:44.250052731Z,01JJWQM94XQAQVWGZG992VCZZY,2025-01-30T23:24:44.260259454Z,01JJWRFYV2NTBGBK9R5EQEGHXT,2025-01-30T23:24:44.260259454Z,Minu,2025-01-30T23:24:56.433715936Z,#444EA1,2025-01-30T23:24:56.433715936Z,01JJWR8JTWFAN6D5HVE8ETVVAA,2025-01-30T23:20:43.259564971Z,672943f01665b053c5cd5c86,2025-01-30T23:20:43.259564971Z,01JJWR6YPRBYZDQS37TNVZ17DG,2025-01-30T23:24:56.433715936Z,matcher,2025-01-30T23:51:44.75692473Z,1.500000,2025-01-30T23:52:00.165710415Z,/avatars/red.png,2025-01-30T23:24:56.433715936Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:20:43.266878677Z,full-comp-between,2025-01-30T23:20:43.266878677Z,"{""participantKey"":""672943f01665b053c5cd5c86"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c072e629eb8ccee9a660b""}",2025-01-30T23:20:43.588997445Z
01JJWQRJMBSB61FHVSNY79RF1Y,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-30T23:16:03.063666884Z,0,2025-01-30T23:16:03.063666884Z,game ended,2025-01-30T23:21:20.848811104Z,,,,,01JJWQM3PFQBZ8D8TSMQCH27Y7,2025-01-30T23:15:23.401907851Z,2,2025-01-30T23:12:04.722769454Z,true,2025-01-30T23:16:02.923035495Z,01JJWQM3PFQBZ8D8TSMQCH27Y7,2025-01-30T23:16:02.960553434Z,01JJWR01REFED5PV0D9X38YRXP,2025-01-30T23:16:02.960553434Z,Repi,2025-01-30T23:16:03.063666884Z,#29828D,2025-01-30T23:16:03.063666884Z,01JJWQRJ8GXNK4SK4PGVM0D6QZ,2025-01-30T23:11:58.09136908Z,6018a5c0e1600b187ccb8693,2025-01-30T23:11:58.09136908Z,01JJWQS1X8AXCZ1VYNG6Z378NS,2025-01-30T23:16:03.063666884Z,matcher,2025-01-30T23:20:17.74245424Z,0,2025-01-30T23:16:03.063666884Z,/avatars/blue.png,2025-01-30T23:16:03.063666884Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:11:58.095697335Z,full-comp-between,2025-01-30T23:11:58.095697335Z,"{""participantKey"":""6018a5c0e1600b187ccb8693"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c07302a2e375472acd478""}",2025-01-30T23:11:58.292793385Z
01JJWQSQV9SPPYA5PX985YMZYW,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-30T23:17:53.202664347Z,1.740000,2025-01-30T23:40:01.864015408Z,game ended,2025-01-30T23:40:02.019655938Z,true,2025-01-30T23:41:29.391257199Z,"{""age"":""34"",""gender"":""male"",""strategy"":""describing key shape details or what they obviously looked like at first glance"",""enjoy"":""It was a lot of fun actually working together. We bonded. Kind of <3 "",""feedback"":""No problems but occasional lag"",""education"":""bachelor""}",2025-01-30T23:41:29.408357558Z,01JJWQM4SXYWDXPAAXPXF6RTWY,2025-01-30T23:17:34.747190148Z,2,2025-01-30T23:15:32.914884524Z,true,2025-01-30T23:17:48.402277798Z,01JJWQM4SXYWDXPAAXPXF6RTWY,2025-01-30T23:17:48.409529663Z,01JJWR38QPH4Z3HGMZPWXWK0V0,2025-01-30T23:17:48.409529663Z,Repi,2025-01-30T23:17:53.202664347Z,#29828D,2025-01-30T23:17:53.202664347Z,01JJWQSQHEMD698FTRKVC6W8G2,2025-01-30T23:12:36.201271488Z,5f516d96bf6cde3b04b94b69,2025-01-30T23:12:36.201271488Z,01JJWQV1TS0KZ44GYE1X0YSK72,2025-01-30T23:17:53.202664347Z,director,2025-01-30T23:39:45.971798493Z,1.740000,2025-01-30T23:40:01.864015408Z,/avatars/blue.png,2025-01-30T23:17:53.202664347Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:12:36.204528552Z,full-comp-between,2025-01-30T23:12:36.204528552Z,"{""participantKey"":""5f516d96bf6cde3b04b94b69"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c073baa3569a983499059""}",2025-01-30T23:12:36.370080567Z
01JJWQYAXFA06T43169FFGR53K,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-30T23:22:23.250248175Z,0.510000,2025-01-30T23:40:03.55859437Z,game ended,2025-01-30T23:45:21.58401382Z,true,2025-01-30T23:49:29.198185958Z,"{""age"":""32"",""gender"":""Female"",""strategy"":""We try to give each shape a name."",""enjoy"":""the game was fun because my partner came up with a perfect way to describe the diagram. "",""feedback"":"""",""education"":""bachelor""}",2025-01-30T23:49:29.220940248Z,01JJWQM844MK0XHZFTGEC09EQ6,2025-01-30T23:21:26.163982344Z,2,2025-01-30T23:20:16.889778983Z,true,2025-01-30T23:22:22.894540381Z,01JJWQM844MK0XHZFTGEC09EQ6,2025-01-30T23:22:22.958048916Z,01JJWRBMVC28PR39QG92XX6XQS,2025-01-30T23:22:22.958048916Z,Repi,2025-01-30T23:22:23.250248175Z,#29828D,2025-01-30T23:22:23.250248175Z,01JJWQY94RBG9HNBV8VEJGE32W,2025-01-30T23:15:06.799148198Z,675436e14d7ef1173a74a5b8,2025-01-30T23:15:06.799148198Z,01JJWR1ETS1JN3WY00GJSHKE7R,2025-01-30T23:22:23.250248175Z,director,2025-01-30T23:44:17.934726618Z,0.510000,2025-01-30T23:40:03.55859437Z,/avatars/blue.png,2025-01-30T23:22:23.250248175Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:15:06.803599946Z,full-comp-between,2025-01-30T23:15:06.803599946Z,"{""participantKey"":""675436e14d7ef1173a74a5b8"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c0728261d852706dc62dd""}",2025-01-30T23:15:07.396988531Z
01JJWR0420CMA9MSBPY8QTX9E6,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-30T23:24:34.30143361Z,1.860000,2025-01-30T23:50:33.447913525Z,game ended,2025-01-30T23:50:33.560207947Z,true,2025-01-30T23:52:40.787864274Z,"{""age"":""23"",""gender"":""Male"",""strategy"":""We used the number of legs and the shape of the base of the figures to describe them.  "",""enjoy"":""Very much"",""feedback"":""No, it went on smoothly for me"",""education"":""bachelor""}",2025-01-30T23:52:40.764327753Z,01JJWQM8WGY44HHCQ0AQQ6RXGH,2025-01-30T23:23:00.469354947Z,2,2025-01-30T23:23:50.074226223Z,true,2025-01-30T23:24:33.036998959Z,01JJWQM8WGY44HHCQ0AQQ6RXGH,2025-01-30T23:24:33.050687191Z,01JJWRFKWRWZMJ5ZBYX5V4T311,2025-01-30T23:24:33.050687191Z,Minu,2025-01-30T23:24:34.30143361Z,#444EA1,2025-01-30T23:24:34.30143361Z,01JJWR0168AYZXQMV8X5W5SA63,2025-01-30T23:16:05.312916539Z,67269f439696d166fbb74e09,2025-01-30T23:16:05.312916539Z,01JJWQYD6ANY9ACM10DYW7CBSF,2025-01-30T23:24:34.30143361Z,matcher,2025-01-30T23:50:16.047828302Z,1.860000,2025-01-30T23:50:33.447913525Z,/avatars/red.png,2025-01-30T23:24:34.30143361Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:16:05.317066516Z,full-comp-between,2025-01-30T23:16:05.317066516Z,"{""participantKey"":""67269f439696d166fbb74e09"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c077eb8f646dbe919d9ff""}",2025-01-30T23:16:05.87510504Z
01JJWR4B3NQYDQQZFR048P98PH,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-30T23:25:53.348805097Z,0.450000,2025-01-30T23:35:03.06991596Z,game ended,2025-01-30T23:40:21.23080864Z,true,2025-01-30T23:45:08.447620839Z,"{""age"":""40"",""gender"":""male"",""strategy"":""the shape"",""enjoy"":""yes"",""feedback"":"""",""education"":""bachelor""}",2025-01-30T23:45:08.465609835Z,01JJWQM9DAGFZKW8XR8W2D95AS,2025-01-30T23:24:55.889576449Z,2,2025-01-30T23:24:08.883296511Z,true,2025-01-30T23:24:59.497914064Z,01JJWQM9DAGFZKW8XR8W2D95AS,2025-01-30T23:25:06.280629693Z,01JJWRGMB4FMXVK18WACW7P4QN,2025-01-30T23:25:06.280629693Z,Repi,2025-01-30T23:25:53.348805097Z,#29828D,2025-01-30T23:25:53.348805097Z,01JJWR49G6VY20FQ78H5QDN4DA,2025-01-30T23:18:23.605889245Z,67709ec28bdf0084bd3b231b,2025-01-30T23:18:23.605889245Z,01JJWR8PMT1SN2WP3VXZV12T09,2025-01-30T23:25:53.348805097Z,director,2025-01-30T23:39:17.835723388Z,0.450000,2025-01-30T23:35:03.06991596Z,/avatars/blue.png,2025-01-30T23:25:53.348805097Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:18:23.612514045Z,full-comp-between,2025-01-30T23:18:23.612514045Z,"{""participantKey"":""67709ec28bdf0084bd3b231b"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c073a88f3bfb83dacd4a7""}",2025-01-30T23:18:24.338831557Z
01JJWRA8P00NRWVV7JQMKBQJJE,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-30T23:27:35.870130625Z,0,2025-01-30T23:27:35.870130625Z,game ended,2025-01-30T23:37:19.606862653Z,,,,,01JJWQM9Z0665TE8FH60006TCE,2025-01-30T23:26:36.868299978Z,2,2025-01-30T23:24:23.630283033Z,true,2025-01-30T23:27:35.032709006Z,01JJWQM9Z0665TE8FH60006TCE,2025-01-30T23:27:35.069801577Z,01JJWRN5MT7S02KQDAYJABBQM5,2025-01-30T23:27:35.069801577Z,Repi,2025-01-30T23:27:35.870130625Z,#29828D,2025-01-30T23:27:35.870130625Z,01JJWRA5Y24XS0GWWCAX3RGEQR,2025-01-30T23:21:37.728341527Z,67274a937bc73438d89976b8,2025-01-30T23:21:37.728341527Z,01JJWRB9WG64CG27XBCC43EP3V,2025-01-30T23:27:35.870130625Z,director,2025-01-30T23:36:16.21955472Z,0,2025-01-30T23:27:35.870130625Z,/avatars/blue.png,2025-01-30T23:27:35.870130625Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-30T23:21:37.735460553Z,full-comp-between,2025-01-30T23:21:37.735460553Z,"{""participantKey"":""67274a937bc73438d89976b8"",""STUDY_ID"":""679bb8b3cc23fe8d03da31c0"",""SESSION_ID"":""679c0926be693956a91e3e09""}",2025-01-30T23:21:39.417192088Z
